"选手ID","国籍","队伍","位置","年龄","TI次数"
"Ghost","Malaysia","","Offlane","","0"
"Gy","Malaysia","","Offlane","27","0"
"Ice","Malaysia","","Support","37","2"
"JT-","Malaysia","","Offlane","28","2"
"JoHnNy","Malaysia","","Support","31","2"
"KaNG","Malaysia","","Offlane","","0"
"Kecik Imba","Malaysia","","Mid","30","1"
"LOyd","Malaysia","","Support","28","0"
"Lance","Malaysia","","Carry","31","1"
"Mercury","Malaysia","","Mid","28","0"
"MidOne","Malaysia","MOUZ","Mid","30","5"
"MoZuN","Malaysia","","Support","31","1"
"Moon","Malaysia","","Mid","31","2"
"MtR","Malaysia","","Offlane","","0"
"Neah666","Malaysia","","Mid","24","0"
"Net","Malaysia","","Support","34","3"
"Nj","Malaysia","","Support","","0"
"NothingToSay","Malaysia","Xtreme Gaming","Mid","25","6"
"Oli","Malaysia","","Carry5","31","4"
"Roddgeee","Malaysia, Australia","","Support","32","0"
"Sharky","Malaysia","","Support","36","1"
"Syeonix","Malaysia","","Carry","27","0"
"TooFuckingGood","Malaysia","","Offlane","","1"
"TrazaM","Malaysia","","Support","29","0"
"Unknown-","Malaysia","","Carry","30","0"
"Wenn","Malaysia","","Offlane","","0"
"Wonder’boy","Malaysia","","Mid","25","0"
"Ws","Malaysia","Aurora Gaming","Offlane","21","2"
"YamateH","Malaysia","","Support","36","3"
"Zacky","Malaysia","","Support","","0"
"aikster","Malaysia","","Support","","0"
"dabeliuteef","Malaysia","","Carry","","1"
"ddz","Malaysia","","Mid","30","1"
"kYxY","Malaysia","","Offlane","35","4"
"ling","Malaysia","","Support","","2"
"mks","Malaysia","","Carry","24","0"
"ponyo","Malaysia","Yangon Galacticos","Support","26","1"
"rayy","Malaysia","","Support","30","0"
"vtFαded","Malaysia","","Carry","28","1"
"xNova","Malaysia","Xtreme Gaming","Carry5","28","6"
"xiangzai","Malaysia","","Offlane","","1"
"xiaoyu","Malaysia","","Offlane","25","0"
"zeal","Malaysia","GLYPH","Offlane","27","0"
"343","Malaysia","OG","Coach","31","1"
"ADTR","Malaysia","","Support","","0"
"ChuaN","Malaysia","","Coach","35","5"
"Mushi","Malaysia","","Coach","35","6"
"Ohaiyo","Malaysia","","Coach","33","5"
"WinteR","Malaysia","","Coach","36","2"
"XtiNcT","Malaysia","","Coach","37","3"
"ah fu","Malaysia","","Coach","32","3"
"Ifrit","Mexico","","Support","","0"
"N1ne","Mexico","","Support","28","0"
"Zyzz","Mexico, United States","","Carry","","1"
"esK","Mexico","","Mid","","0"
"lundd","Mexico","","Mid","","0"
"Save-","Moldova","BetBoom Team","Carry4","24","5"
"rubikon155","Moldova","","Carry","","0"
"11","Mongolia","","Offlane","26","0"
"423","Mongolia","IC x Insanity","Carry","23","0"
"Ace12","Mongolia","Carstensz Esports","Support","25","0"
"Ariunbolor","Mongolia","","Mid","","0"
"FortuneSoul","Mongolia","","Carry","26","0"
"MaRveL-","Mongolia","","Support","32","0"
"Masquerade","Mongolia","","Offlane","34","0"
"NARMAN","Mongolia","GLYPH","Support","27","0"
"Retribution","Mongolia","","Carry","29","0"
"Se","Mongolia","IC x Insanity","Support","25","0"
"khishka","Mongolia","","Support","25","0"
"sanctity-","Mongolia","","Mid","25","0"
"seimei","Mongolia","Carstensz Esports","Offlane","23","0"
"InsaNe","Myanmar","","Mid","28","0"
"Kenji","Myanmar","Team Veteran","Support","34","0"
"Ksh","Myanmar","Yangon Galacticos","Carry","20","0"
"Leo","Myanmar","","Mid","","0"
