"选手ID","国籍","队伍","位置","年龄","TI次数"
"fsd","Russia","","Support","25","0"
"gpk","Russia","BetBoom Team","Mid","24","5"
"iLTW","Russia","","Carry","26","0"
"illias","Russia","Virtus.pro","Support","24","1"
"kasane","Russia","1w Team","Offlane","23","1"
"kickeed","Russia","","Support","29","0"
"kiyotaka","Russia","Aurora Gaming","Mid","21","2"
"krylat","Russia","","Carry","28","0"
"layme","Russia","","Carry","26","0"
"lil sorry","Russia","","Offlane","26","0"
"lilskrip","Russia","","Support","26","0"
"lowkez","Russia","","Support","27","0"
"lupsione","Russia","Team Stels","Support","24","0"
"meLes","Russia","","Offlane","26","0"
"nattynarwhal_","Russia","","Mid","26","0"
"nesfeer","Russia","","Carry","25","0"
"nongrata","Russia","","Offlane","30","1"
"not me","Russia","Team Spirit","Carry4","22","1"
"plov","Russia","","Carry","28","0"
"prblms","Russia","Team Yandex","Support","22","0"
"qoval","Russia","","Support","28","0"
"queezy小个子","Russia","Level UP","Support","23","0"
"reibl","Russia","","Mid","24","0"
"rue","Russia","Team Spirit","Carry5","22","2"
"sayuw","Russia","L1GA TEAM","Carry4","28","2"
"selfhate","Russia","","Carry","23","0"
"smN","Russia","","Support","26","0"
"solji;,","Russia","","Support","25","0"
"spacy","Russia","","Support","28","0"
"squad1x","Russia","Enjoy","Mid","23","1"
"ssnovv1","Russia","","Carry","22","1"
"swedenstrong","Russia","Enjoy","Support","23","1"
"tatakae","Russia","","Carry","25","0"
"ubah","Russia","","Support","31","0"
"ufir","Russia","","Support","30","0"
"waveformn","Russia","RE Arise","Support","19","0"
"xannii","Russia","","Carry","25","0"
"yamich","Russia","MOUZ","Support","25","0"
"yoky-","Russia","","Support","31","1"
"yol","Russia","","Support","33","0"
"Женя","Russia","","Support","33","0"
"мистер мораль","Russia","Enjoy","Offlane","","0"
"Chu","Russia","","Coach","28","0"
"Dragneel_FH","Russia","","Other","","0"
"Dread","Russia","","Other","35","1"
"Faker","Russia, Ukraine","","Other","31","0"
"G","Russia","","Coach","34","4"
"Illidan","Russia","Team Spirit","Coach","34","2"
"Koma`","Russia","Team Spirit","Carry","23","0"
"Lazar'","Russia","","Other","35","0"
"LighTofHeaveN","Russia","","Other","38","2"
"Lum1Sit","Russia","","Other","26","0"
"Miposhka","Russia","Team Spirit","Coach","28","6"
"Misha","Russia","","Coach","29","1"
"Mob5ter","Russia","","Other","","0"
"NS","Russia","","Other","37","2"
"Nix","Russia","","Other","29","0"
"NotInMyHouse","Russia","","Other","27","0"
"PGG","Russia","","Other","35","1"
"Santa","Russia","","Other","37","1"
"Silent","Russia","Team Spirit","Coach","33","4"
"Smile","Russia","","Other","37","3"
"TpoH","Russia","","Carry","","0"
"VeRsuta","Russia","","Other","37","0"
"Velheor","Russia","Nemiga Gaming","Coach","28","0"
"sQreen","Russia","","Support","","0"
"y0nd","Russia","","Support","30","0"
"Heyman95","Saudi Arabia","","Support","30","0"
"Alex","Serbia","","Support","31","0"
"BoraNija","Serbia","","Mid","29","0"
"ChodΣX","Serbia","","Offlane","24","0"
"MikSa`","Serbia","","Offlane","26","0"
"Swiftending","Serbia","","Carry","33","1"
"kokijjom","Serbia","","Carry","","0"
"pwN","Serbia","","Offlane","32","0"
"LeBronDota","Serbia","Zero Tenacity","Support","36","0"
"RealToxi","Serbia","","Coach","33","0"
"bukka","Serbia, Estonia","","Other","","0"
"g0g1","Serbia","","Coach","37","0"
"grizine","Serbia","Zero Tenacity","Offlane","38","0"
"Barry","Singapore","","Support","","0"
"Chains","Singapore","","Mid","","0"
"Chawy","Singapore","","Support","34","1"
"Chibix","Singapore","","Carry","36","0"
"Deth","Singapore","","Offlane","31","1"
"Kai","Singapore","","Support","30","0"
"Kordan","Singapore","","Mid","24","0"
"Lubby","Singapore","","Support","32","0"
"Luk","Singapore","","Carry","","0"
"Meracle","Singapore","","Other","30","0"
"Roy","Singapore","","Other","","1"
"SCripted","Singapore","","Support","","0"
"Tudi","Singapore","","Offlane","29","0"
"Ysaera","Singapore, Malaysia","","Mid","30","0"
"hyhy","Singapore","","Carry","36","2"
"iceiceice","Singapore","","Offlane","36","9"
"poloson","Singapore","Team Refuser","Support","30","0"
"ponlo","Singapore","Ilbirs eSports","Support","28","1"
"tmt","Singapore","","Support","","0"
"xsilearn","Singapore","","Mid","30","0"
"xy-","Singapore","","Support","34","3"
"NutZ","Singapore","","Coach","36","1"
"xFreedom","Singapore","","Support","33","2"
"Tulex","Slovakia","","Support","","1"
"Warlog","Slovakia","","Offlane","","1"
"skiter","Slovakia","Team Falcons","Carry","27","5"
"Pingvincek","Slovenia","","Mid","","0"
"Castaway","South Africa","","Support","28","0"
"Welp","South Africa","","Carry","","0"
"scant","South Africa","","Coach","37","0"
"Crio_J","South Korea, France","","Mid","36","0"
"CyNiCaL","South Korea","","Support","","0"
"Doctor","South Korea","","Mid","","0"
"Febby","South Korea, Canada","","Support","33","3"
"HooNji","South Korea","","Support","","0"
"JesusSt1ck","South Korea","","Support","","0"
"JyU","South Korea","","Offlane","","0"
"MafiA","South Korea","","Support","","0"
"Reisen","South Korea","","Support","33","0"
"SeleCT","South Korea","","Offlane","37","0"
"Sky","South Korea","","Support","","0"
"baNhwA","South Korea","","Carry","","0"
"f(x)","South Korea","","Carry","","0"
"pYung","South Korea","","Support","","0"
"DuBu","South Korea, Canada","","Coach","33","5"
"Forev","South Korea","","Coach","34","3"
"Heen","South Korea","","Coach","39","1"
"MP","South Korea","","Coach","32","3"
"March","South Korea, Canada","Execration","Coach","38","1"
"QO","South Korea, Australia","","Coach","32","3"
"SunBhie","South Korea, Canada","","Coach","36","1"
"Akke","Sweden","Alliance","Support","38","4"
"Apemother","Sweden","","Mid","35","0"
"Bengan","Sweden","","Support","29","0"
"Boxi","Sweden","Team Liquid","Carry4","28","6"
"Chessie","Sweden","","Mid","33","0"
"Chrillee","Sweden","","Offlane","","0"
"EGM","Sweden","","Support","35","3"
"Era","Sweden","","Support","30","3"
"Eskillz","Sweden","","Offlane","34","0"
"Fishbone","Sweden","","Other","","0"
"Five","Sweden","","Other","","0"
"Frigoleet","Sweden","","Support","","0"
"Frost","Sweden","","Mid","","0"
"GoAudio","Sweden","","Carry","","0"
"Handsken","Sweden","","Support","32","1"
"Insania","Sweden","","Carry5","32","5"
"Kefka","Sweden","","Offlane","","0"
"Limmp","Sweden","","Mid","31","1"
"Matrim","Sweden","","Other","","0"
"Mikey","Sweden","","Offlane","30","0"
"Mini","Sweden","","Support","32","0"
"Mirakel","Sweden","","Support","36","2"
"Mynuts","Sweden","","Support","","0"
"Pablo","Sweden","","Support","30","0"
"Pajkatt","Sweden","","Carry","33","5"
"PiNoY","Sweden","","Other","","0"
"Reelo","Sweden","","Mid","","0"
"Reesion","Sweden","","Other","","0"
"Sealkid","Sweden","","Support","","0"
"Solitude","Sweden","","Carry","","0"
"Steffstyle","Sweden","","Support","","0"
"Strangby","Sweden","","Mid","","0"
"Xcalibur","Sweden, China","","Mid","28","0"
"Xibbe","Sweden","","Offlane","31","0"
"cYso","Sweden","","Mid","34","0"
"charlie","Sweden","","Carry","28","0"
"eresloco","Sweden","","Mid","","0"
"jonassomfan","Sweden","","Offlane","33","0"
"miCKe","Sweden","Team Liquid","Carry","27","6"
"s4","Sweden","","Offlane","34","8"
"smulgullig","Sweden","","Offlane","","0"
"AdmiralBulldog","Sweden","Alliance","Offlane","35","3"
"Drayich","Sweden","","Other","43","0"
"Loda","Sweden","Alliance","Coach","38","4"
"pieliedie","Sweden","","Coach","35","5"
"zai","Sweden","","Offlane","29","9"
"v0ja","Switzerland","","Other","38","0"
"23savage","Thailand","","Carry","24","4"
"Boombui","Thailand","","Support","34","0"
"BungsellRotee","Thailand","","Carry","","0"
"Fearless","Thailand","","Mid","31","0"
"Jabz","Thailand","Team Nemesis","Offlane","27","7"
"KNP","Thailand","","Offlane","30","0"
"KyT","Thailand","","Offlane","","0"
"Leaf","Thailand","","Support","","0"
"LionaX","Thailand","","Support","32","0"
"Masaros","Thailand","","Offlane","28","0"
"Q","Thailand","","Carry4","28","3"
"RDP","Thailand","","Offlane","","0"
"SoLotic","Thailand","","Support","","0"
"Tigger","Thailand","","Support","31","0"
"Toei","Thailand","","Offlane","","0"
"Varen","Thailand","","Support","30","0"
"aabBAA","Thailand","","Offlane","35","1"
"r5r5","Thailand","","Support","","0"
"tnt","Thailand","","Offlane","32","0"
"Feimao","Thailand","","Support","","1"
"LaKelz","Thailand","","Coach","36","1"
"Mikasa","Thailand","","Other","31","0"
"MyPro","Thailand","","Coach","34","0"
"Seri","Thailand, Australia","","Coach","30","0"
"TnK","Thailand","","Support","","1"
"Xyclopz","Thailand","","Other","40","0"
"NEQROMAN","Turkey","","Mid","30","0"
"Wuiter","Turkey","","Offlane","29","0"
"mdL","Turkey","","Support","30","0"
"7jesu","Ukraine","","Carry","22","0"
"ALOHADANCE","Ukraine","","Support","28","1"
"Artes","Ukraine","","Carry","30","0"
"Axypa","Ukraine","","Support","","0"
"Batyuk","Ukraine","Yellow Submarine","Offlane","22","0"
"Belony","Ukraine","","Support","25","0"
"Bignum","Ukraine","GamerLegion","Carry4","31","2"
"Bombad1l","Ukraine","","Mid","","0"
"Crystallize","Ukraine","","Carry","27","1"
"Darklord^","Ukraine","Rune Eaters","Carry","22","0"
"Dendi","Ukraine","","Mid","36","6"
"Ecnart","Ukraine","","Support","29","0"
"Fernans","Ukraine","","Support","23","0"
"Firestorm","Ukraine","","Carry","28","0"
"Funn1k","Ukraine","","Offlane","33","4"
"Gedrox","Ukraine","","Carry","","0"
"GeneRaL","Ukraine","","Offlane","30","1"
"Ghostik","Ukraine","","Offlane","31","1"
"Gwynbleidd","Ukraine","","Mid","","0"
"INFERNAL","Ukraine","","Offlane","23","0"
"Iceberg","Ukraine","","Mid","29","1"
"KSi","Ukraine","","Support","","1"
"Kidaro","Ukraine","","Support","27","0"
"Lil","Ukraine","","Support","30","2"
"Lodine","Ukraine","","Support","30","0"
"MaTa","Ukraine","","Support","","0"
"Mira","Ukraine","Aurora Gaming","Carry4","26","6"
"Moonlight","Ukraine","","Mid","26","0"
"Niku","Ukraine","Natus Vincere","Mid","17","1"
"No[o]ne-","Ukraine","PARIVISION","Mid","28","7"
"Pikachu","Ukraine","","Mid","29","0"
"QBFY","Ukraine","Team Lynx","Support","21","0"
"QwisTa","Ukraine","","Carry","","0"
"Resolut1on","Ukraine","","Offlane","29","6"
"Riddys","Ukraine","Natus Vincere","Support","20","1"
"Shin丶Ra","Ukraine","","Mid","28","0"
"Shisui","Ukraine","","Mid","27","0"
"State21","Ukraine","","Mid","","0"
"StoneBank","Ukraine","","Offlane","26","0"
"Time2Die","Ukraine","","Offlane","","0"
"V-Tune","Ukraine","","Carry","26","0"
"Yatoro","Ukraine","Team Spirit","Carry","23","6"
"Yuragi","Ukraine","","Carry","24","1"
"dark","Ukraine","","Support","28","0"
"dualrazee","Ukraine","","Mid","22","0"
"fortniteMan","Ukraine","","Offlane","23","0"
"gotthejuice","Ukraine","Natus Vincere","Carry","21","1"
"illusion","Ukraine","","Support","23","0"
"kaori","Ukraine","Aurora Gaming","Carry5","24","2"
"kreker","Ukraine","Team Lynx","Support","23","0"
"laise","Ukraine","IC x Insanity","Offlane","25","0"
"lightless","Ukraine","","Carry","27","0"
"lorenof","Ukraine","Nigma Galaxy","Mid","23","2"
"mangekyou","Ukraine, Poland","","Offlane","21","0"
"mellojul","Ukraine","Team Lynx","Mid","26","0"
"nefrit","Ukraine","Zero Tenacity","Offlane","29","0"
"niche","Ukraine","Ilbirs eSports","Mid","24","0"
"pJon","Ukraine","","Offlane","27","0"
"pma","Ukraine","Natus Vincere","Offlane","20","1"
"rincyq","Ukraine","","Carry","21","0"
"shigetsu","Ukraine","Yellow Submarine","Carry","22","0"
"yowaai","Ukraine","RE Arise","Carry","23","0"
"4liver","Ukraine","","Other","34","0"
"ALWAYSWANNAFLY","Ukraine","","Coach","35","3"
"Artstyle","Ukraine","IC x Insanity","Coach","37","4"
"DkPhobos","Ukraine","","Offlane","36","1"
"DonStepan","Ukraine","","Other","44","0"
"Goblak","Ukraine","","Support","37","1"
"Heaven","Ukraine","Zero Tenacity","Coach","25","0"
"JUSTICE","Ukraine","","Other","","0"
"KVYZEE","Ukraine","","Other","26","0"
"Mag","Ukraine","Rune Eaters","Coach","36","2"
"Mtrx4u","Ukraine","","Other","37","0"
"STORM","Ukraine","","Other","31","0"
"Sh4dowehhh","Ukraine","","Coach","30","0"
"TaiTake","Ukraine","","Other","","0"
"Tekcac","Ukraine","","Other","34","0"
"Telpecarne","Ukraine","","Other","","0"
"Tonya","Ukraine","IC x Insanity","Other","33","0"
"XBOCT","Ukraine","","Coach","35","5"
"distilled","Ukraine","","Coach","","0"
"fn","Ukraine","","Coach","32","1"
"violinUA","Ukraine","","Other","34","0"
"чикиряу","Ukraine","","Coach","","0"
"Attacker","United Arab Emirates","Nigma Galaxy","Mid","32","0"
"Adzantick","United Kingdom","","Mid","27","0"
"Ari","United Kingdom","1w Team","Carry4","23","2"
"Beesa","United Kingdom, Jordan","","Carry","32","0"
"Overlom","United Kingdom","","Support","","0"
"TANNER","United Kingdom","","Support","28","0"
"symetricaL","United Kingdom","","Offlane","25","0"
"2GD","United Kingdom","","Other","43","0"
"Machine","United Kingdom","","Other","32","0"
"Malystryx","United Kingdom","","Other","","0"
"MoFarah","United Kingdom","","Other","","0"
"Redeye","United Kingdom, Ireland","","Other","54","0"
"ros","United Kingdom","","Coach","31","0"
"04","United States","","Support","","0"
"Bdiz","United States","","Support","","0"
"Bloody Nine","United States","","Support","33","0"
"Brax","United States","","Offlane","32","2"
"Cak3z","United States","","Offlane","","0"
"Chen","United States, China","","Support","28","0"
"Corey","United States","","Carry","","0"
"DoubleKing","United States","","Carry","21","0"
"DurpDurp","United States","Wheel Whreck","Support","","0"
"Eagle","United States","","Support","","0"
"FLUFFNSTUFF","United States","","Support","34","2"
"FLee","United States, Philippines","","Support","28","0"
"Fayde","United States","GamerLegion","Offlane","27","2"
"Fly.","United States, China","","Support","","0"
"FlyingZebra","United States","","Support","","0"
"Fun","United States","","Support","32","0"
"Giant","United States","","Support","","0"
"Gunnar","United States","","Offlane","26","2"
"HANNAH_MONTANA","United States","","Offlane","34","1"
"Husky","United States","","Support","27","0"
"Italiano Gangstar","United States, Poland","","Offlane","24","0"
"Kitrak","United States","","Support","27","0"
"Kitzz","United States","","Mid","24","0"
"Korok","United States","","Carry","32","2"
"KvH","United States","","Carry","","0"
"Lil_Nick","United States","","Offlane","","0"
"LokarN","United States","","Offlane","","0"
"MJW","United States","","Offlane","","0"
"MSS","United States","","Support","30","6"
"Mark","United States","","Mid","","0"
"Monster","United States","","Offlane","29","0"
"Moo","United States","","Offlane","30","2"
"Napkin","United States","Kobravex Gaming","Offlane","24","0"
"Newsham","United States","Fart Studios","Support","","0"
"Pandaego","United States","","Support","","0"
"Quinn","United States","","Mid","26","6"
"RCY","United States, Philippines","GamerLegion","Mid","20","2"
"RRL","United States","","Mid","","0"
"Reaves","United States","","Other","","0"
"Riser","United States","","Support","","0"
"Ritsu","United States","","Carry","","0"
"Ryoya","United States","","Mid","","0"
"RyuUboruZ","United States","","Mid","","0"
"Salivating Salamander 37","United States","","Support","","0"
"Sammyboy","United States","","Carry","26","0"
"Sanctified","United States","","Support","","0"
"Save","United States","","Support","32","0"
"Scourge McDuck","United States","","Carry","","0"
"Shiibbyy","United States","","Mid","","0"
"Shoe","United States, Ukraine","","Support","","0"
"Skyward","United States","","Support","23","0"
"Slayer","United States","","Support","","0"
"Sneyking","United States, China","Team Falcons","Carry5","31","9"
"Speeed","United States","GamerLegion","Carry5","27","2"
"Stan King","United States","","Support","","0"
"Szabo666","United States","","Support","","0"
"The Warden","United States","","Support","27","0"
"Theyna","United States","","Support","29","0"
"TidesofTime","United States","","Support","34","0"
"Tralf","United States","","Support","","0"
"USH","United States","","Mid","","0"
"Universe","United States","","Other","36","7"
"Yamsun","United States","","Carry","25","2"
"YawaR","United States, Pakistan","","Carry","29","4"
"Zfreek","United States","","Support","32","1"
"albinozebra1","United States","","Support","","0"
"bgod","United States","","Support","23","0"
"dnm","United States","","Carry","23","0"
"empyreaN","United States","","Support","28","0"
"guanzo","United States","","Offlane","","0"
"ima_sheep(sux)","United States","","Support","","0"
"ixmike88","United States","","Support","35","2"
"jigglebilly","United States","","Carry","32","0"
"justin","United States","","Carry","","0"
"lies","United States, China","","Offlane","","0"
"monkeys-forever","United States","","Offlane","","0"
"ocean","United States","","Support","","0"
"oldWhite","United States, China","","Offlane","29","0"
"red2","United States","","Mid","25","0"
"whiteBeard","United States","","Support","","0"
"zero","United States","","Offlane","","0"
"AnneeDroid","United States","","Other","31","0"
"Ayesee","United States","","Other","41","0"
"BSJ","United States","Fart Studios","Other","34","0"
"Blaze","United States","","Other","36","0"
"BuLba","United States, India","Virtus.pro","Coach","35","5"
"DeMoN","United States","","Coach","36","4"
"DoublA","United States","Aurora Gaming","Support","28","0"
"Draskyl","United States","","Other","38","0"
"Fear","United States","","Other","38","4"
"Fogged","United States","","Other","36","2"
"GranDGranT","United States","","Support","36","0"
"Kpoptosis","United States","","Other","35","0"
"Kyle","United States","","Mid","34","1"
"LD","United States","","Other","40","0"
"Loomdun","United States","","Coach","","0"
"Luminous","United States","","Other","38","0"
"Maut","United States","","Other","35","0"
"Merlini","United States","","Other","38","0"
"Monolith","United States","","Other","","0"
"Nahaz","United States, Canada","","Other","50","0"
"Pythian","United States","","Other","","0"
"Rich","United States","","Other","","0"
"SVG","United States","","Support","32","2"
"Toffees","United States","","Other","","0"
"Zyori","United States","","Other","36","0"
"mason","United States","","Carry","34","2"
"ppd","United States","","Coach","34","5"
"Rises","Uruguay","","Carry","30","0"
"jAM3S","Uzbekistan","Bushido","Support","30","0"
"Gudii","Venezuela","","Support","34","0"
"458","Vietnam","","Carry","29","0"
"Biryu","Vietnam","","Support","","0"
"Datbb","Vietnam","","Carry","27","0"
"Red","Vietnam","","Offlane","30","0"
"Vivian","Vietnam","","Carry","32","0"
"Yasy","Vietnam","","Support","32","0"
"bombi","Vietnam","","Support","27","0"
"hunghung","Vietnam","","Mid","","0"
"old Yoda","Vietnam, United States","","Support","34","0"
"Magical","Vietnam","","Coach","33","0"
